"Time","Source","Destiny","SrcPort","DstPort","Protocol","Frame","Ack"
"2.539522","192.168.122.20","192.168.121.10","21","55956","TCP","287","285"
"2.539531","192.168.121.10","192.168.122.20","55956","21","FTP","288",""
"2.550351","192.168.121.10","192.168.122.20","55956","21","FTP","289",""
"2.754288","192.168.121.10","192.168.122.20","55956","21","FTP","290",""
"2.754775","192.168.122.20","192.168.121.10","21","55956","TCP","291","288"
"2.754792","192.168.121.10","192.168.122.20","55956","21","FTP","292",""
"2.755064","192.168.122.20","192.168.121.10","21","55956","TCP","293",""
"2.755080","192.168.121.10","192.168.122.20","55956","21","FTP","294",""
"2.755292","192.168.122.20","192.168.121.10","21","55956","TCP","295",""
"2.755305","192.168.121.10","192.168.122.20","55956","21","FTP","296",""
"2.755467","192.168.122.20","192.168.121.10","21","55956","TCP","297",""
"2.755478","192.168.121.10","192.168.122.20","55956","21","FTP","298",""
"2.755614","192.168.122.20","192.168.121.10","21","55956","TCP","299","296"
"2.755624","192.168.121.10","192.168.122.20","55956","21","FTP","300",""
"2.755633","192.168.121.10","192.168.122.20","55956","21","FTP","301",""
"2.766286","192.168.121.10","192.168.122.20","55956","21","FTP","302",""
"2.766587","192.168.122.20","192.168.121.10","21","55956","TCP","303","302"
"2.766601","192.168.121.10","192.168.122.20","55956","21","FTP","304",""
"2.766609","192.168.121.10","192.168.122.20","55956","21","FTP","305",""
"2.766818","192.168.122.20","192.168.121.10","21","55956","TCP","306","304"
"2.766823","192.168.121.10","192.168.122.20","55956","21","FTP","307",""
"2.766975","192.168.122.20","192.168.121.10","21","55956","TCP","308",""
"2.766987","192.168.121.10","192.168.122.20","55956","21","FTP","309",""
"2.767111","192.168.122.20","192.168.121.10","21","55956","TCP","310",""
"2.767119","192.168.121.10","192.168.122.20","55956","21","FTP","311",""
"2.767234","192.168.122.20","192.168.121.10","21","55956","TCP","312",""
"2.767241","192.168.121.10","192.168.122.20","55956","21","FTP","313",""
"2.970339","192.168.121.10","192.168.122.20","55956","21","FTP","314",""
"2.970915","192.168.122.20","192.168.121.10","21","55956","TCP","315","311"
"2.970933","192.168.121.10","192.168.122.20","55956","21","FTP","316",""
"2.970943","192.168.121.10","192.168.122.20","55956","21","FTP","317",""
"3.026364","192.168.121.10","192.168.122.20","55956","21","FTP","318",""
"3.026930","192.168.122.20","192.168.121.10","21","55956","TCP","319",""
"3.026947","192.168.121.10","192.168.122.20","55956","21","FTP","320",""
"3.027366","192.168.122.20","192.168.121.10","21","55956","TCP","321",""
"3.027382","192.168.121.10","192.168.122.20","55956","21","FTP","322",""
"3.027598","192.168.122.20","192.168.121.10","21","55956","TCP","323","320"
"3.027612","192.168.121.10","192.168.122.20","55956","21","FTP","324",""
"3.027626","192.168.121.10","192.168.122.20","55956","21","FTP","325",""
"3.027785","192.168.122.20","192.168.121.10","21","55956","TCP","326","324"
"3.027795","192.168.121.10","192.168.122.20","55956","21","FTP","327",""
"3.027807","192.168.121.10","192.168.122.20","55956","21","FTP","328",""
"3.027810","192.168.122.20","192.168.121.10","21","55956","TCP","329","325"
"3.027814","192.168.121.10","192.168.122.20","55956","21","FTP","330",""
"3.027817","192.168.121.10","192.168.122.20","55956","21","FTP","331",""
"3.028094","192.168.122.20","192.168.121.10","21","55956","TCP","332","327"
"3.028111","192.168.121.10","192.168.122.20","55956","21","FTP","333",""
